,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
197,KNN_hard,College,MNAR,0.9334135579622944,0.8128280199522879,0.7137931034482758,0.9594592640786526,0.3,4,5.0
198,KNN_proba,College,MNAR,0.9342158042519053,0.8119453480806766,0.7152777777777778,0.9612087038241885,0.3,4,5.0
199,EM,College,MNAR,0.9358202968311271,0.820919540229885,0.726027397260274,0.9604322995734837,0.3,4,
200,Oracle,College,MCAR,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.5,0,
201,Naive,College,MCAR,0.9314354450681636,0.817055123936367,0.7116357504215851,0.9550268220495746,0.5,0,
202,KNN_hard,College,MCAR,0.9318364073777065,0.809229617554569,0.7068965517241379,0.9549328870699223,0.5,0,5.0
203,KNN_proba,College,MCAR,0.9322373696872494,0.8094593969663337,0.7081174438687392,0.9561092420458749,0.5,0,5.0
204,EM,College,MCAR,0.9306335204490778,0.8085402793192749,0.7032590051457976,0.9551785631705513,0.5,0,
205,Oracle,College,MCAR,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.5,1,
206,Naive,College,MCAR,0.9230152365677626,0.8055170181280059,0.6821192052980133,0.9555889867739548,0.5,1,
207,KNN_hard,College,MCAR,0.9278267842822775,0.8123020139659638,0.6989966555183946,0.9551063054938956,0.5,1,5.0
208,KNN_proba,College,MCAR,0.9290296712109062,0.8156764474657787,0.7045075125208681,0.956785573899371,0.5,1,5.0
209,EM,College,MCAR,0.9258219727345629,0.8084680216426192,0.6911519198664441,0.9557739664261932,0.5,1,
210,Oracle,College,MCAR,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.5,2,
211,Naive,College,MCAR,0.9266238973536488,0.8048999375693673,0.6903553299492385,0.9562812153163152,0.5,2,
212,KNN_hard,College,MCAR,0.933841218925421,0.8063508717166112,0.7100175746924429,0.9586642734924158,0.5,2,5.0
213,KNN_proba,College,MCAR,0.9294306335204491,0.8011382029226786,0.6944444444444444,0.9606195662227156,0.5,2,5.0
214,EM,College,MCAR,0.9266238973536488,0.8048999375693673,0.6903553299492385,0.9573000485571587,0.5,2,
215,Oracle,College,MCAR,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.5,3,
216,Naive,College,MCAR,0.9290296712109062,0.7727149232334443,0.6691588785046729,0.9463371138549759,0.5,3,
217,KNN_hard,College,MCAR,0.9294306335204491,0.7783148931742508,0.6752767527675276,0.942703997872734,0.5,3,5.0
218,KNN_proba,College,MCAR,0.9282277465918204,0.7749404596744358,0.6691312384473198,0.9461261214391417,0.5,3,5.0
219,EM,College,MCAR,0.9242181234963913,0.7592171892341842,0.6440677966101694,0.9460553089160193,0.5,3,
220,Oracle,College,MCAR,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.5,4,
221,Naive,College,MCAR,0.9334135579622944,0.8168553459119496,0.7167235494880546,0.9592770910142413,0.5,4,
222,KNN_hard,College,MCAR,0.933012434817489,0.8072283669486011,0.7085514834205934,0.9567714884696017,0.5,4,5.0
223,KNN_proba,College,MCAR,0.9326113116726835,0.8083409238776837,0.7083333333333334,0.9578457312224392,0.5,4,5.0
224,EM,College,MCAR,0.9342158042519053,0.8119453480806766,0.7152777777777778,0.9568553459119499,0.5,4,
225,Oracle,College,MAR1,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.5,0,
226,Naive,College,MAR1,0.9226142742582197,0.8039446910839807,0.6799336650082919,0.9535672169811321,0.5,0,
227,KNN_hard,College,MAR1,0.9314354450681636,0.8103423857750647,0.7066895368782161,0.9517029689234185,0.5,0,5.0
228,KNN_proba,College,MAR1,0.9326383319967922,0.808346628745838,0.7083333333333334,0.9543389289678136,0.5,0,5.0
229,EM,College,MAR1,0.9226142742582197,0.7972319529226786,0.6745362563237775,0.9540383370329264,0.5,0,
230,Oracle,College,MAR1,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.5,1,
231,Naive,College,MAR1,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9553808846651868,0.5,1,
232,KNN_hard,College,MAR1,0.9226142742582197,0.798574500554939,0.6756302521008404,0.953164019145394,0.5,1,5.0
233,KNN_proba,College,MAR1,0.9262229350441058,0.8046701581576026,0.6891891891891891,0.9542522197558269,0.5,1,5.0
234,EM,College,MAR1,0.9286287089013633,0.80336373936367,0.6941580756013745,0.9536452552719201,0.5,1,
235,Oracle,College,MAR1,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.5,2,
236,Naive,College,MAR1,0.9242181234963913,0.8021787134665186,0.6823529411764706,0.9576757884757677,0.5,2,
237,KNN_hard,College,MAR1,0.929831595829992,0.8080807204957454,0.7008547008547008,0.9575847438031817,0.5,2,5.0
