,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
74,EM,Electricity,MAR2,0.7588832487309645,0.7385486966596975,0.6801346801346801,0.824633506803,0.1,4,
75,Oracle,Electricity,MNAR,0.7511861414542645,0.7297429601959804,0.6672568983325955,0.8159517065557333,0.1,0,
76,Naive,Electricity,MNAR,0.7490897053955644,0.7268313606400855,0.6622103386809269,0.8158571249175276,0.1,0,
77,KNN_hard,Electricity,MNAR,0.749200044135496,0.7267909965057616,0.6619068868064852,0.8153164946789109,0.1,0,5.0
78,KNN_proba,Electricity,MNAR,0.7490897053955644,0.7264226364058579,0.6610017889087657,0.8153749479252834,0.1,0,5.0
79,EM,Electricity,MNAR,0.7488690279157012,0.7265714853802102,0.6618127786032689,0.8158405806056812,0.1,0,
80,Oracle,Electricity,MNAR,0.760785611828313,0.7404344476492127,0.6824838898652607,0.8238037266560757,0.1,1,
81,Naive,Electricity,MNAR,0.7606752730883813,0.7397254840207861,0.6807007213307816,0.8235879031181045,0.1,1,
82,KNN_hard,Electricity,MNAR,0.7602339181286549,0.7386267075025464,0.6783123612139156,0.8231339810198871,0.1,1,5.0
83,KNN_proba,Electricity,MNAR,0.7601235793887234,0.738394588814052,0.6778304682868999,0.8231203269793874,0.1,1,5.0
84,EM,Electricity,MNAR,0.7604545956085181,0.7394656087609108,0.6803121778824915,0.82355132623589,0.1,1,
85,Oracle,Electricity,MNAR,0.7485102626351798,0.7287520676419548,0.6687018461985754,0.8099925705702368,0.1,2,
86,Naive,Electricity,MNAR,0.7472964025601413,0.7266404995886524,0.6646162858816638,0.8099779160761047,0.1,2,
87,KNN_hard,Electricity,MNAR,0.7483999117192672,0.7280084019099691,0.6667641040631395,0.810026265937697,0.1,2,5.0
88,KNN_proba,Electricity,MNAR,0.7479585080556168,0.7271475749927538,0.6650044001173364,0.8099011045949565,0.1,2,5.0
89,EM,Electricity,MNAR,0.7471860516442287,0.7265105281823617,0.6644206825838582,0.8099523454792007,0.1,2,
90,Oracle,Electricity,MNAR,0.7580004414036636,0.7390431612236104,0.6827715897584261,0.8202844616753825,0.1,3,
91,Naive,Electricity,MNAR,0.7568969322445376,0.7368229056721616,0.6783472039713827,0.8203446746988913,0.1,3,
92,KNN_hard,Electricity,MNAR,0.7574486868241006,0.737404574445204,0.6791240875912409,0.8200266123619631,0.1,3,5.0
93,KNN_proba,Electricity,MNAR,0.7575590377400132,0.7372617928178524,0.6785662033650329,0.8201465399567991,0.1,3,5.0
94,EM,Electricity,MNAR,0.7566762304127125,0.736528868730375,0.6778670562454346,0.8203313660256488,0.1,3,
95,Oracle,Electricity,MNAR,0.7594350033105275,0.7391644595619453,0.6810067310506293,0.8245460284451706,0.1,4,
96,Naive,Electricity,MNAR,0.7586625468991393,0.7378114360382422,0.678429642699603,0.824602453232101,0.1,4,
97,KNN_hard,Electricity,MNAR,0.7600971088060031,0.7390578406403516,0.6797289334119033,0.824223131122083,0.1,4,5.0
98,KNN_proba,Electricity,MNAR,0.7591039505627897,0.7377517214669148,0.6775956284153005,0.8242497484685678,0.1,4,5.0
99,EM,Electricity,MNAR,0.7585521959832267,0.7376814646319516,0.678235294117647,0.8245868018336062,0.1,4,
100,Oracle,Electricity,MCAR,0.7511861414542645,0.7297429601959804,0.6672568983325955,0.8159517065557333,0.3,0,
101,Naive,Electricity,MCAR,0.7538342712126227,0.7332361271958587,0.6730177341345449,0.8156360689917738,0.3,0,
102,KNN_hard,Electricity,MCAR,0.7508551252344698,0.7286038195434168,0.6644873699851411,0.8142980228550698,0.3,0,5.0
103,KNN_proba,Electricity,MCAR,0.7501930927948803,0.7276198316466773,0.6626936829558999,0.8143414267575341,0.3,0,5.0
104,EM,Electricity,MCAR,0.7533929162528964,0.7326141956175514,0.6719506825187143,0.8155534969293359,0.3,0,
105,Oracle,Electricity,MCAR,0.760785611828313,0.7404344476492127,0.6824838898652607,0.8238037266560757,0.3,1,
